# Function list for DaemonServer (via ctags)
# Format: qualified_name | file:line
#
CommandContext | src/mgr/DaemonServer.cc:961
key_from_service | src/mgr/DaemonServer.cc:545
log_access_denied | src/mgr/DaemonServer.cc:1056
map_compare | src/mgr/DaemonServer.cc:80
maybe_adjust_stats_period | src/mgr/DaemonServer.cc:465
maybe_ready | src/mgr/DaemonServer.cc:411
ms_dispatch2 | src/mgr/DaemonServer.cc:378
ms_handle_accept | src/mgr/DaemonServer.cc:333
ms_handle_fast_authentication | src/mgr/DaemonServer.cc:295
ms_handle_refused | src/mgr/DaemonServer.cc:372
ms_handle_reset | src/mgr/DaemonServer.cc:345
remove_mds_perf_query | src/mgr/DaemonServer.cc:3870
remove_osd_perf_query | src/mgr/DaemonServer.cc:3853
reply | src/mgr/DaemonServer.cc:976
reply | src/mgr/DaemonServer.cc:972
reregister_mds_perf_queries | src/mgr/DaemonServer.cc:3875
schedule_tick | src/mgr/DaemonServer.cc:507
schedule_tick_locked | src/mgr/DaemonServer.cc:492
send_report | src/mgr/DaemonServer.cc:3286
shutdown | src/mgr/DaemonServer.cc:142
tick | src/mgr/DaemonServer.cc:447
update_task_status | src/mgr/DaemonServer.cc:740
~DaemonServer | src/mgr/DaemonServer.cc:156
DaemonServer | src/mgr/DaemonServer.h:320
HandlePayloadVisitor | src/mgr/DaemonServer.h:299
MDSPerfMetricCollectorListener | src/mgr/DaemonServer.h:271
OSDPerfMetricCollectorListener | src/mgr/DaemonServer.h:256
StatsAutotuner | src/mgr/DaemonServer.h:391
__anon64eae2930102 | src/mgr/DaemonServer.h:72
_allowed_command | src/mgr/DaemonServer.h:188
_check_offlines_pgs | src/mgr/DaemonServer.h:204
_generate_command_map | src/mgr/DaemonServer.h:184
_get_mgrcommand | src/mgr/DaemonServer.h:186
_handle_command | src/mgr/DaemonServer.h:344
_maximize_ok_to_stop_set | src/mgr/DaemonServer.h:209
_maximize_ok_to_upgrade_set | src/mgr/DaemonServer.h:215
_populate_crush_bucket_osds | src/mgr/DaemonServer.h:235
_prune_pending_service_map | src/mgr/DaemonServer.h:202
_reply | src/mgr/DaemonServer.h:199
_send_configure | src/mgr/DaemonServer.h:350
_update_upgraded_osds | src/mgr/DaemonServer.h:227
_valid_bucket_type_for_upgrade_check | src/mgr/DaemonServer.h:233
add_mds_perf_query | src/mgr/DaemonServer.h:358
add_osd_perf_query | src/mgr/DaemonServer.h:352
adjust_pgs | src/mgr/DaemonServer.h:348
all_osds_upgraded | src/mgr/DaemonServer.h:139
asok_command | src/mgr/DaemonServer.h:374
dump | src/mgr/DaemonServer.h:69
dump | src/mgr/DaemonServer.h:144
dump_pg_ready | src/mgr/DaemonServer.h:372
evaluate_adjustment | src/mgr/DaemonServer.h:440
fetch_missing_metadata | src/mgr/DaemonServer.h:337
get_mds_perf_counters | src/mgr/DaemonServer.h:362
get_myaddrs | src/mgr/DaemonServer.h:318
get_osd_metadata | src/mgr/DaemonServer.h:224
get_osd_perf_counters | src/mgr/DaemonServer.h:356
get_tracked_keys | src/mgr/DaemonServer.h:364
got_mgr_map | src/mgr/DaemonServer.h:347
got_service_map | src/mgr/DaemonServer.h:346
handle_close | src/mgr/DaemonServer.h:340
handle_command | src/mgr/DaemonServer.h:342
handle_command | src/mgr/DaemonServer.h:343
handle_conf_change | src/mgr/DaemonServer.h:365
handle_mds_perf_metric_query_updated | src/mgr/DaemonServer.h:282
handle_metric_payload | src/mgr/DaemonServer.h:288
handle_metric_payload | src/mgr/DaemonServer.h:284
handle_metric_payload | src/mgr/DaemonServer.h:292
handle_open | src/mgr/DaemonServer.h:338
handle_osd_perf_metric_query_updated | src/mgr/DaemonServer.h:267
handle_query_updated | src/mgr/DaemonServer.h:259
handle_query_updated | src/mgr/DaemonServer.h:274
handle_report | src/mgr/DaemonServer.h:341
handle_update | src/mgr/DaemonServer.h:339
init | src/mgr/DaemonServer.h:316
log_access_denied | src/mgr/DaemonServer.h:370
maybe_adjust_stats_period | src/mgr/DaemonServer.h:250
maybe_ready | src/mgr/DaemonServer.h:245
ms_dispatch2 | src/mgr/DaemonServer.h:330
ms_handle_accept | src/mgr/DaemonServer.h:332
ms_handle_fast_authentication | src/mgr/DaemonServer.h:331
ms_handle_refused | src/mgr/DaemonServer.h:335
ms_handle_remote_reset | src/mgr/DaemonServer.h:334
ms_handle_reset | src/mgr/DaemonServer.h:333
ok_to_stop | src/mgr/DaemonServer.h:65
ok_to_upgrade | src/mgr/DaemonServer.h:135
operator () | src/mgr/DaemonServer.h:304
reason_str | src/mgr/DaemonServer.h:426
record_our_change | src/mgr/DaemonServer.h:398
remove_mds_perf_query | src/mgr/DaemonServer.h:360
remove_osd_perf_query | src/mgr/DaemonServer.h:355
reregister_mds_perf_queries | src/mgr/DaemonServer.h:361
schedule_tick | src/mgr/DaemonServer.h:368
schedule_tick_locked | src/mgr/DaemonServer.h:251
send_report | src/mgr/DaemonServer.h:345
set_baseline_period | src/mgr/DaemonServer.h:394
should_check_now | src/mgr/DaemonServer.h:406
shutdown | src/mgr/DaemonServer.h:327
tick | src/mgr/DaemonServer.h:249
update_task_status | src/mgr/DaemonServer.h:309
was_changed_by_user | src/mgr/DaemonServer.h:402
